genres,title,movie,rating100
Comedy,Smashing Time (1967),3233,100.0
Adventure,Ulysses (Ulisse) (1954),3172,100.0
Drama,Song of Freedom (1936),3382,100.0
Comedy,One Little Indian (1973),3607,100.0
Documentary,"Gate of Heavenly Peace, The (1995)",787,100.0
Crime,Lured (1947),3656,100.0
Western,One Little Indian (1973),3607,100.0
Documentary,Bittersweet Motel (2000),3881,100.0
Drama,Schlafes Bruder (Brother of Sleep) (1995),989,100.0
Comedy,Follow the Bitch (1998),1830,100.0
Drama,One Little Indian (1973),3607,100.0
Horror,"Baby, The (1973)",3280,100.0
Drama,I Am Cuba (Soy Cuba/Ya Kuba) (1964),3245,96.0
Drama,Lamerica (1994),53,95.0
Drama,"Apple, The (Sib) (1998)",2503,93.0
Adventure,Sanjuro (1962),2905,92.0
Action,Sanjuro (1962),2905,92.0
Drama,"Shawshank Redemption, The (1994)",318,91.0
Action,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),2019,91.0
Drama,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),2019,91.0
Drama,"Callejón de los milagros, El (1995)",1795,90.0
Drama,"Inheritors, The (Die Siebtelbauern) (1998)",2309,90.0
Drama,Skipped Parts (2000),3888,90.0
Crime,"Usual Suspects, The (1995)",50,90.0
Animation,"Close Shave, A (1995)",745,90.0
Crime,"Godfather, The (1972)",858,90.0
Mystery,Rear Window (1954),904,90.0
Comedy,"Wrong Trousers, The (1993)",1148,90.0
Drama,"Hour of the Pig, The (1993)",578,90.0
Drama,Schindler's List (1993),527,90.0
Mystery,"Hour of the Pig, The (1993)",578,90.0
Thriller,"Usual Suspects, The (1995)",50,90.0
Romance,Skipped Parts (2000),3888,90.0
Film-Noir,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),922,90.0
Thriller,"Close Shave, A (1995)",745,90.0
Drama,"Bells, The (1926)",3517,90.0
War,Schindler's List (1993),527,90.0
Drama,"Godfather, The (1972)",858,90.0
Action,"Godfather, The (1972)",858,90.0
Crime,"Bells, The (1926)",3517,90.0
Drama,Dangerous Game (1993),439,90.0
Action,Raiders of the Lost Ark (1981),1198,90.0
Drama,Dry Cleaning (Nettoyage ŕ sec) (1997),2480,90.0
Comedy,"Close Shave, A (1995)",745,90.0
Drama,Mamma Roma (1962),557,90.0
Adventure,Raiders of the Lost Ark (1981),1198,90.0
Animation,"Wrong Trousers, The (1993)",1148,90.0
Thriller,Rear Window (1954),904,90.0
Sci-Fi,Star Wars: Episode IV - A New Hope (1977),260,89.0
Thriller,"Third Man, The (1949)",1212,89.0
Drama,Paths of Glory (1957),1178,89.0
